CMDLINE C:\Users\geoinf1\.virtualenvs\xetra_1234-VJ8oTG26\Scripts\python.exe run.py C:\xetra_dev\xetra_1234\configs\xetra_report1_config.yml
MEM 1.597656 1667985702.9324
MEM 3.183594 1667985703.0325
MEM 3.183594 1667985703.1399
MEM 3.183594 1667985703.2525
MEM 3.183594 1667985703.3675
MEM 3.183594 1667985703.4715
MEM 3.183594 1667985703.5769
MEM 3.183594 1667985703.6884
MEM 3.183594 1667985703.8030
MEM 3.183594 1667985703.9225
MEM 3.183594 1667985704.0327
MEM 3.183594 1667985704.1527
MEM 3.183594 1667985704.2727
MEM 3.183594 1667985704.3878
MEM 3.183594 1667985704.4928
MEM 3.183594 1667985704.6126
MEM 3.183594 1667985704.7127
MEM 3.183594 1667985704.8128
MEM 3.183594 1667985704.9129
MEM 3.183594 1667985705.0193
MEM 3.183594 1667985705.1280
MEM 3.183594 1667985705.2365
MEM 3.183594 1667985705.3464
MEM 3.183594 1667985705.4552
MEM 3.183594 1667985705.5629
MEM 3.183594 1667985705.6722
MEM 3.183594 1667985705.7814
MEM 3.183594 1667985705.8892
MEM 3.183594 1667985705.9997
MEM 3.183594 1667985706.1089
MEM 3.183594 1667985706.2090
MEM 3.183594 1667985706.3185
MEM 3.183594 1667985706.4276
MEM 3.183594 1667985706.5293
MEM 3.183594 1667985706.6375
MEM 3.183594 1667985706.7478
MEM 3.183594 1667985706.8554
MEM 3.183594 1667985706.9645
MEM 3.183594 1667985707.0736
MEM 3.183594 1667985707.1814
MEM 3.183594 1667985707.2901
MEM 3.183594 1667985707.4008
MEM 3.183594 1667985707.5106
MEM 3.183594 1667985707.6211
MEM 3.183594 1667985707.7304
MEM 3.183594 1667985707.8421
MEM 3.183594 1667985707.9428
MEM 3.183594 1667985708.0525
MEM 3.183594 1667985708.1526
MEM 3.183594 1667985708.2654
MEM 3.183594 1667985708.3783
MEM 3.183594 1667985708.4905
MEM 3.183594 1667985708.6016
MEM 3.183594 1667985708.7080
MEM 3.183594 1667985708.8226
MEM 3.183594 1667985708.9231
